id	year	growth	site	farm	land	long	lat	ln_cover	site.rich	ln_site.rich	site.FRic	feedagg.FRic	substrate.FRic	diet.FRic	nestagg.FRic	movements.FRic	lnmass.FRic	large	small	v.small	flocking	non-flocking	aerial	canopy	ground	under	invert	nectar	seeds	varied	colonial	non-colonial	local	nomadic	partial
2002-S-ARCH-1	2002	oldgrowth	ARCH-1	Arch	Gundagai	148.0782222	-35.1309482	0	18	2.890371758	0.287775306	2	3	4	2	3	2.446220275	4	11	3	13	5	2	5	11	0	12	1	3	2	7	11	10	3	5
2002-S-ARCH-2	2002	regrowth	ARCH-2	Arch	Gundagai	148.1010692	-35.1648707	1.791759469	10	2.302585093	0.242748642	2	3	3	2	3	2.252666696	1	6	3	6	4	1	5	4	0	7	1	0	2	4	6	5	2	3
2002-S-ARCH-3	2002	regrowth	ARCH-3	Arch	Gundagai	148.0843406	-35.1677357	1.098612289	17	2.833213344	0.371595942	2	3	4	2	3	3.236129024	5	7	5	9	8	0	11	5	1	9	3	2	3	2	15	12	1	4
2002-S-ARCH-4	2002	regrowth	ARCH-4	Arch	Gundagai	148.077036	-35.1733641	1.609437912	11	2.397895273	0.301741804	2	2	4	2	3	2.07742522	2	8	1	8	3	0	6	5	0	7	1	1	2	5	6	8	2	1
2002-S-BELL-1	2002	planting	BELL-1	Bell	Tarcutta	147.66148	-35.30462	2.197224577	13	2.564949357	0.414756768	2	3	4	2	2	2.642717019	4	4	5	8	5	0	5	6	2	6	2	3	2	4	9	10	0	3
2002-S-BELL-2	2002	oldgrowth	BELL-2	Bell	Tarcutta	147.65917	-35.30638	2.302585093	23	3.135494216	0.38514023	2	3	5	2	3	2.768630006	9	11	3	17	6	0	9	12	2	12	2	5	3	8	15	17	3	3
2002-S-BELL-3	2002	planting	BELL-3	Bell	Tarcutta	147.65503	-35.31728	1.386294361	16	2.772588722	0.377567101	2	3	4	2	2	2.836627399	6	6	4	13	3	0	7	7	2	8	3	3	2	6	10	10	0	6
2002-S-BELL-4	2002	planting	BELL-4	Bell	Tarcutta	147.65253	-35.31674	1.609437912	19	2.944438979	0.436255793	2	3	4	2	3	2.792915642	6	8	5	10	9	0	7	9	3	11	2	4	2	5	14	12	0	6
2002-S-BROW-1	2002	oldgrowth	BROW-1	Brow	Tarcutta	147.6569803	-35.2492998	1.386294361	16	2.772588722	0.381286391	2	2	4	2	3	2.586983527	5	9	2	11	5	0	7	9	0	7	1	5	3	9	7	10	4	2
2002-S-BROW-2	2002	oldgrowth	BROW-2	Brow	Tarcutta	147.6615352	-35.2592927	0.693147181	11	2.397895273	0.265180437	2	2	4	2	2	3.19467678	7	2	2	10	1	0	8	3	0	4	1	3	3	7	4	7	0	4
