code	lnmass	size	feedagg	substrate	diet	nestagg	movements
amag	5.634789603	Lge	Flocking	Ground	Varied	Non-colonial	Local_Dispersal
apos	4.912654886	Lge	Flocking	Ground	Varied	Non-colonial	Local_Dispersal
arav	6.385194399	Lge	Non-flocking	Ground	Varied	Non-colonial	Local_Dispersal
bb	4.65396035	Lge	Non-flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
bbowl	5.176149733	Lge	Flocking	Aerial	Vertebrates	Non-colonial	Local_Dispersal
bche	2.976167118	VSml	Flocking	Canopy	Nectar	Non-colonial	Local_Dispersal
bfcs	4.744932128	Lge	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
bfhe	4.634728988	Lge	Flocking	Canopy	Invertebrates	Colonial	Local_Dispersal
bfws	3.564866899	Sml	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
bhhe	2.729702968	VSml	Flocking	Canopy	Nectar	Non-colonial	Local_Dispersal
blueb	4.404531897	Sml	Flocking	Ground	Seeds	Non-colonial	Local_Dispersal
bqu	4.65396035	Lge	Flocking	Ground	Seeds	Non-colonial	Local_Dispersal
brc	3.620332912	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
brtb	1.999789383	VSml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
bsl	3.973874901	Sml	Non-flocking	Ground	Seeds	Non-colonial	Nomadic
btb	2.202150696	VSml	Flocking	Understorey	Invertebrates	Non-colonial	Local_Dispersal
btc	3.465237347	Sml	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
bud	3.360111572	Sml	Flocking	Ground	Seeds	Colonial	Nomadic
cbzp	5.802118375	Lge	Non-flocking	Ground	Seeds	Non-colonial	Local_Dispersal
cch	2.37133349	VSml	Flocking	Ground	Invertebrates	Colonial	Nomadic
cock	4.526427754	Lge	Flocking	Ground	Seeds	Colonial	Nomadic
cpig	5.257495372	Lge	Flocking	Ground	Seeds	Non-colonial	Local_Dispersal
cros	4.836281907	Lge	Flocking	Canopy	Seeds	Non-colonial	Local_Dispersal
cstar	4.350277936	Sml	Flocking	Ground	Invertebrates	Colonial	Local_Dispersal
cstit	3.244587285	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
dbf	2.188856328	VSml	Flocking	Ground	Seeds	Colonial	Nomadic
ddove	3.469130529	Sml	Flocking	Ground	Seeds	Non-colonial	Nomadic
dift	2.881337286	VSml	Flocking	Ground	Seeds	Colonial	Local_Dispersal
dol	4.955827058	Lge	Flocking	Canopy	Invertebrates	Non-colonial	Total_Migrant
dws	3.541321577	Sml	Flocking	Canopy	Invertebrates	Colonial	Nomadic
egf	2.868004115	VSml	Flocking	Understorey	Seeds	Colonial	Nomadic
eros	4.644390899	Lge	Flocking	Canopy	Seeds	Non-colonial	Local_Dispersal
esl	3.689137014	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
eyr	2.965245319	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Local_Dispersal
fmar	2.377228636	VSml	Flocking	Aerial	Invertebrates	Colonial	Partial_Migrant
ftc	3.909018496	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
fuhe	2.788066774	VSml	Flocking	Canopy	Invertebrates	Colonial	Partial_Migrant
g	5.723585102	Lge	Flocking	Ground	Seeds	Colonial	Local_Dispersal
gang	5.549076085	Lge	Flocking	Canopy	Seeds	Colonial	Partial_Migrant
gbut	4.508504516	Lge	Flocking	Canopy	Vertebrates	Non-colonial	Local_Dispersal
gcb	4.246328495	Sml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
gcw	5.96100534	Lge	Flocking	Canopy	Varied	Non-colonial	Local_Dispersal
gfan	2.057172194	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
gst	4.211978106	Sml	Non-flocking	Ground	Varied	Non-colonial	Local_Dispersal
gw	3.650658241	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
hbc	3.141994781	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
hrob	2.96007387	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Local_Dispersal
hsp	3.281425763	Sml	Flocking	Understorey	Invertebrates	Colonial	Local_Dispersal
jwin	2.67229825	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
kp	5.332718793	Lge	Flocking	Canopy	Seeds	Non-colonial	Local_Dispersal
lbc	6.340359304	Lge	Flocking	Ground	Seeds	Colonial	Local_Dispersal
lc	6.208590026	Lge	Flocking	Ground	Seeds	Colonial	Local_Dispersal
lfb	4.189772276	Sml	Flocking	Canopy	Nectar	Non-colonial	Partial_Migrant
lfly	2.605330895	VSml	Non-flocking	Canopy	Invertebrates	Colonial	Partial_Migrant
lkook	5.743003188	Lge	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
llor	3.675034047	Sml	Flocking	Canopy	Nectar	Non-colonial	Nomadic
lrav	6.280395839	Lge	Flocking	Ground	Varied	Colonial	Partial_Migrant
mlark	4.477138919	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Nomadic
mtb	2.1690537	VSml	Non-flocking	Canopy	Mistletoe	Non-colonial	Nomadic
mws	3.545297726	Sml	Flocking	Canopy	Invertebrates	Colonial	Nomadic
nfri	4.605170186	Lge	Flocking	Canopy	Varied	Colonial	Partial_Migrant
nmin	4.266370242	Sml	Flocking	Canopy	Varied	Colonial	Local_Dispersal
obo	4.576484891	Lge	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
onj	3.757316616	Sml	Non-flocking	Aerial	Invertebrates	Non-colonial	Local_Dispersal
pbq	4.393187892	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
pbut	4.812184355	Lge	Non-flocking	Canopy	Vertebrates	Non-colonial	Local_Dispersal
pcw	5.730099783	Lge	Flocking	Canopy	Varied	Non-colonial	Partial_Migrant
pdove	3.816441037	Sml	Flocking	Ground	Seeds	Non-colonial	Local_Dispersal
phe	3.028522096	Sml	Non-flocking	Canopy	Mistletoe	Colonial	Nomadic
plc	4.472210059	Sml	Non-flocking	Understorey	Invertebrates	Non-colonial	Total_Migrant
rbe	3.331483129	Sml	Flocking	Canopy	Invertebrates	Colonial	Partial_Migrant
rbfch	2.25434613	VSml	Flocking	Ground	Seeds	Colonial	Local_Dispersal
rbking	3.946001637	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Total_Migrant
rcrob	2.1653659	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Partial_Migrant
rfly	2.828791819	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
rpip	3.245761154	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Partial_Migrant
rrp	4.143305891	Sml	Flocking	Ground	Seeds	Colonial	Local_Dispersal
rsl	3.392403891	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Partial_Migrant
rw	3.157000421	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
rwb	4.50980414	Lge	Flocking	Canopy	Nectar	Non-colonial	Partial_Migrant
sbc	3.18428438	Sml	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
sbl	3.079613758	Sml	Non-flocking	Ground	Seeds	Non-colonial	Total_Migrant
scc	6.599870499	Lge	Flocking	Ground	Seeds	Colonial	Local_Dispersal
scrob	2.579445288	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Partial_Migrant
seye	2.459291238	VSml	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
sfly	2.856470206	VSml	Non-flocking	Canopy	Invertebrates	Colonial	Total_Migrant
sfw	2.358047329	VSml	Flocking	Understorey	Invertebrates	Non-colonial	Local_Dispersal
sking	3.971653075	Sml	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
